client_id,event_type,entity_id,amount,region,device_id
seller_normal_a,shipment_updated,ORD-seller_normal_a-000001,137,IN-North,dev_002
seller_normal_a,order_created,ORD-seller_normal_a-000002,174,IN-South,dev_003
seller_normal_a,shipment_updated,ORD-seller_normal_a-000003,211,IN-North,dev_004
seller_normal_a,order_created,ORD-seller_normal_a-000004,248,IN-South,dev_005
seller_normal_a,shipment_updated,ORD-seller_normal_a-000005,285,IN-North,dev_006
seller_normal_a,order_created,ORD-seller_normal_a-000006,322,IN-South,dev_007
seller_normal_a,shipment_updated,ORD-seller_normal_a-000007,359,IN-North,dev_008
seller_normal_a,order_created,ORD-seller_normal_a-000008,396,IN-South,dev_009
seller_normal_a,shipment_updated,ORD-seller_normal_a-000009,433,IN-North,dev_010
seller_normal_a,order_created,ORD-seller_normal_a-000010,470,IN-South,dev_011
seller_normal_a,shipment_updated,ORD-seller_normal_a-000011,507,IN-North,dev_012
seller_normal_a,order_created,ORD-seller_normal_a-000012,544,IN-South,dev_013
seller_normal_a,shipment_updated,ORD-seller_normal_a-000013,581,IN-North,dev_014
seller_normal_a,order_created,ORD-seller_normal_a-000014,618,IN-South,dev_015
seller_normal_a,shipment_updated,ORD-seller_normal_a-000015,655,IN-North,dev_016
seller_normal_a,order_created,ORD-seller_normal_a-000016,692,IN-South,dev_017
seller_normal_a,shipment_updated,ORD-seller_normal_a-000017,729,IN-North,dev_018
seller_normal_a,order_created,ORD-seller_normal_a-000018,766,IN-South,dev_019
seller_normal_a,shipment_updated,ORD-seller_normal_a-000019,803,IN-North,dev_020
seller_normal_a,order_created,ORD-seller_normal_a-000020,840,IN-South,dev_021
seller_normal_a,shipment_updated,ORD-seller_normal_a-000021,877,IN-North,dev_022
seller_normal_a,order_created,ORD-seller_normal_a-000022,914,IN-South,dev_023
seller_normal_a,shipment_updated,ORD-seller_normal_a-000023,951,IN-North,dev_024
seller_normal_a,order_created,ORD-seller_normal_a-000024,988,IN-South,dev_025
seller_normal_a,shipment_updated,ORD-seller_normal_a-000025,1025,IN-North,dev_026
seller_normal_a,order_created,ORD-seller_normal_a-000026,1062,IN-South,dev_027
seller_normal_a,shipment_updated,ORD-seller_normal_a-000027,1099,IN-North,dev_028
seller_normal_a,order_created,ORD-seller_normal_a-000028,1136,IN-South,dev_029
seller_normal_a,shipment_updated,ORD-seller_normal_a-000029,1173,IN-North,dev_030
seller_normal_a,order_created,ORD-seller_normal_a-000030,1210,IN-South,dev_031
seller_normal_a,shipment_updated,ORD-seller_normal_a-000031,1247,IN-North,dev_032
seller_normal_a,order_created,ORD-seller_normal_a-000032,1284,IN-South,dev_033
seller_normal_a,shipment_updated,ORD-seller_normal_a-000033,1321,IN-North,dev_034
seller_normal_a,order_created,ORD-seller_normal_a-000034,1358,IN-South,dev_035
seller_normal_a,shipment_updated,ORD-seller_normal_a-000035,1395,IN-North,dev_036
seller_normal_a,order_created,ORD-seller_normal_a-000036,1432,IN-South,dev_037
seller_normal_a,shipment_updated,ORD-seller_normal_a-000037,1469,IN-North,dev_038
seller_normal_a,order_created,ORD-seller_normal_a-000038,1506,IN-South,dev_039
seller_normal_a,shipment_updated,ORD-seller_normal_a-000039,1543,IN-North,dev_040
seller_normal_a,order_created,ORD-seller_normal_a-000040,1580,IN-South,dev_001
seller_normal_a,shipment_updated,ORD-seller_normal_a-000041,1617,IN-North,dev_002
seller_normal_a,order_created,ORD-seller_normal_a-000042,1654,IN-South,dev_003
seller_normal_a,shipment_updated,ORD-seller_normal_a-000043,1691,IN-North,dev_004
seller_normal_a,order_created,ORD-seller_normal_a-000044,1728,IN-South,dev_005
seller_normal_a,shipment_updated,ORD-seller_normal_a-000045,1765,IN-North,dev_006
seller_normal_a,order_created,ORD-seller_normal_a-000046,1802,IN-South,dev_007
seller_normal_a,shipment_updated,ORD-seller_normal_a-000047,1839,IN-North,dev_008
seller_normal_a,order_created,ORD-seller_normal_a-000048,1876,IN-South,dev_009
seller_normal_a,shipment_updated,ORD-seller_normal_a-000049,1913,IN-North,dev_010
seller_normal_a,order_created,ORD-seller_normal_a-000050,1950,IN-South,dev_011
seller_normal_a,shipment_updated,ORD-seller_normal_a-000051,1987,IN-North,dev_012
seller_normal_a,order_created,ORD-seller_normal_a-000052,2024,IN-South,dev_013
seller_normal_a,shipment_updated,ORD-seller_normal_a-000053,2061,IN-North,dev_014
seller_normal_a,order_created,ORD-seller_normal_a-000054,2098,IN-South,dev_015
seller_normal_a,shipment_updated,ORD-seller_normal_a-000055,2135,IN-North,dev_016
seller_normal_a,order_created,ORD-seller_normal_a-000056,2172,IN-South,dev_017
seller_normal_a,shipment_updated,ORD-seller_normal_a-000057,2209,IN-North,dev_018
seller_normal_a,order_created,ORD-seller_normal_a-000058,2246,IN-South,dev_019
seller_normal_a,shipment_updated,ORD-seller_normal_a-000059,2283,IN-North,dev_020
seller_normal_a,order_created,ORD-seller_normal_a-000060,2320,IN-South,dev_021
seller_normal_a,shipment_updated,ORD-seller_normal_a-000061,2357,IN-North,dev_022
seller_normal_a,order_created,ORD-seller_normal_a-000062,2394,IN-South,dev_023
seller_normal_a,shipment_updated,ORD-seller_normal_a-000063,2431,IN-North,dev_024
seller_normal_a,order_created,ORD-seller_normal_a-000064,2468,IN-South,dev_025
seller_normal_a,shipment_updated,ORD-seller_normal_a-000065,2505,IN-North,dev_026
seller_normal_a,order_created,ORD-seller_normal_a-000066,2542,IN-South,dev_027
seller_normal_a,shipment_updated,ORD-seller_normal_a-000067,2579,IN-North,dev_028
seller_normal_a,order_created,ORD-seller_normal_a-000068,2616,IN-South,dev_029
seller_normal_a,shipment_updated,ORD-seller_normal_a-000069,2653,IN-North,dev_030
seller_normal_a,order_created,ORD-seller_normal_a-000070,2690,IN-South,dev_031
seller_normal_a,shipment_updated,ORD-seller_normal_a-000071,2727,IN-North,dev_032
seller_normal_a,order_created,ORD-seller_normal_a-000072,2764,IN-South,dev_033
seller_normal_a,shipment_updated,ORD-seller_normal_a-000073,2801,IN-North,dev_034
seller_normal_a,order_created,ORD-seller_normal_a-000074,2838,IN-South,dev_035
seller_normal_a,shipment_updated,ORD-seller_normal_a-000075,2875,IN-North,dev_036
seller_normal_a,order_created,ORD-seller_normal_a-000076,2912,IN-South,dev_037
seller_normal_a,shipment_updated,ORD-seller_normal_a-000077,2949,IN-North,dev_038
seller_normal_a,order_created,ORD-seller_normal_a-000078,2986,IN-South,dev_039
seller_normal_a,shipment_updated,ORD-seller_normal_a-000079,3023,IN-North,dev_040
seller_normal_a,order_created,ORD-seller_normal_a-000080,3060,IN-South,dev_001
seller_normal_a,shipment_updated,ORD-seller_normal_a-000081,3097,IN-North,dev_002
seller_normal_a,order_created,ORD-seller_normal_a-000082,3134,IN-South,dev_003
seller_normal_a,shipment_updated,ORD-seller_normal_a-000083,3171,IN-North,dev_004
seller_normal_a,order_created,ORD-seller_normal_a-000084,3208,IN-South,dev_005
seller_normal_a,shipment_updated,ORD-seller_normal_a-000085,3245,IN-North,dev_006
seller_normal_a,order_created,ORD-seller_normal_a-000086,3282,IN-South,dev_007
seller_normal_a,shipment_updated,ORD-seller_normal_a-000087,3319,IN-North,dev_008
seller_normal_a,order_created,ORD-seller_normal_a-000088,3356,IN-South,dev_009
seller_normal_a,shipment_updated,ORD-seller_normal_a-000089,3393,IN-North,dev_010
seller_normal_a,order_created,ORD-seller_normal_a-000090,3430,IN-South,dev_011
seller_normal_a,shipment_updated,ORD-seller_normal_a-000091,3467,IN-North,dev_012
seller_normal_a,order_created,ORD-seller_normal_a-000092,3504,IN-South,dev_013
seller_normal_a,shipment_updated,ORD-seller_normal_a-000093,3541,IN-North,dev_014
seller_normal_a,order_created,ORD-seller_normal_a-000094,3578,IN-South,dev_015
seller_normal_a,shipment_updated,ORD-seller_normal_a-000095,3615,IN-North,dev_016
seller_normal_a,order_created,ORD-seller_normal_a-000096,3652,IN-South,dev_017
seller_normal_a,shipment_updated,ORD-seller_normal_a-000097,3689,IN-North,dev_018
seller_normal_a,order_created,ORD-seller_normal_a-000098,3726,IN-South,dev_019
seller_normal_a,shipment_updated,ORD-seller_normal_a-000099,3763,IN-North,dev_020
seller_normal_a,order_created,ORD-seller_normal_a-000100,3800,IN-South,dev_021
seller_normal_a,shipment_updated,ORD-seller_normal_a-000101,3837,IN-North,dev_022
seller_normal_a,order_created,ORD-seller_normal_a-000102,3874,IN-South,dev_023
seller_normal_a,shipment_updated,ORD-seller_normal_a-000103,3911,IN-North,dev_024
seller_normal_a,order_created,ORD-seller_normal_a-000104,3948,IN-South,dev_025
seller_normal_a,shipment_updated,ORD-seller_normal_a-000105,3985,IN-North,dev_026
seller_normal_a,order_created,ORD-seller_normal_a-000106,4022,IN-South,dev_027
seller_normal_a,shipment_updated,ORD-seller_normal_a-000107,4059,IN-North,dev_028
seller_normal_a,order_created,ORD-seller_normal_a-000108,4096,IN-South,dev_029
seller_normal_a,shipment_updated,ORD-seller_normal_a-000109,4133,IN-North,dev_030
seller_normal_a,order_created,ORD-seller_normal_a-000110,4170,IN-South,dev_031
seller_normal_a,shipment_updated,ORD-seller_normal_a-000111,4207,IN-North,dev_032
seller_normal_a,order_created,ORD-seller_normal_a-000112,4244,IN-South,dev_033
seller_normal_a,shipment_updated,ORD-seller_normal_a-000113,4281,IN-North,dev_034
seller_normal_a,order_created,ORD-seller_normal_a-000114,4318,IN-South,dev_035
seller_normal_a,shipment_updated,ORD-seller_normal_a-000115,4355,IN-North,dev_036
seller_normal_a,order_created,ORD-seller_normal_a-000116,4392,IN-South,dev_037
seller_normal_a,shipment_updated,ORD-seller_normal_a-000117,4429,IN-North,dev_038
seller_normal_a,order_created,ORD-seller_normal_a-000118,4466,IN-South,dev_039
seller_normal_a,shipment_updated,ORD-seller_normal_a-000119,4503,IN-North,dev_040
seller_normal_a,order_created,ORD-seller_normal_a-000120,4540,IN-South,dev_001
seller_normal_a,shipment_updated,ORD-seller_normal_a-000121,4577,IN-North,dev_002
seller_normal_a,order_created,ORD-seller_normal_a-000122,4614,IN-South,dev_003
seller_normal_a,shipment_updated,ORD-seller_normal_a-000123,4651,IN-North,dev_004
seller_normal_a,order_created,ORD-seller_normal_a-000124,4688,IN-South,dev_005
seller_normal_a,shipment_updated,ORD-seller_normal_a-000125,4725,IN-North,dev_006
seller_normal_a,order_created,ORD-seller_normal_a-000126,4762,IN-South,dev_007
seller_normal_a,shipment_updated,ORD-seller_normal_a-000127,4799,IN-North,dev_008
seller_normal_a,order_created,ORD-seller_normal_a-000128,4836,IN-South,dev_009
seller_normal_a,shipment_updated,ORD-seller_normal_a-000129,4873,IN-North,dev_010
seller_normal_a,order_created,ORD-seller_normal_a-000130,4910,IN-South,dev_011
seller_normal_a,shipment_updated,ORD-seller_normal_a-000131,4947,IN-North,dev_012
seller_normal_a,order_created,ORD-seller_normal_a-000132,4984,IN-South,dev_013
seller_normal_a,shipment_updated,ORD-seller_normal_a-000133,121,IN-North,dev_014
seller_normal_a,order_created,ORD-seller_normal_a-000134,158,IN-South,dev_015
seller_normal_a,shipment_updated,ORD-seller_normal_a-000135,195,IN-North,dev_016
seller_normal_a,order_created,ORD-seller_normal_a-000136,232,IN-South,dev_017
seller_normal_a,shipment_updated,ORD-seller_normal_a-000137,269,IN-North,dev_018
seller_normal_a,order_created,ORD-seller_normal_a-000138,306,IN-South,dev_019
seller_normal_a,shipment_updated,ORD-seller_normal_a-000139,343,IN-North,dev_020
seller_normal_a,order_created,ORD-seller_normal_a-000140,380,IN-South,dev_021
seller_normal_a,shipment_updated,ORD-seller_normal_a-000141,417,IN-North,dev_022
seller_normal_a,order_created,ORD-seller_normal_a-000142,454,IN-South,dev_023
seller_normal_a,shipment_updated,ORD-seller_normal_a-000143,491,IN-North,dev_024
seller_normal_a,order_created,ORD-seller_normal_a-000144,528,IN-South,dev_025
seller_normal_a,shipment_updated,ORD-seller_normal_a-000145,565,IN-North,dev_026
seller_normal_a,order_created,ORD-seller_normal_a-000146,602,IN-South,dev_027
seller_normal_a,shipment_updated,ORD-seller_normal_a-000147,639,IN-North,dev_028
seller_normal_a,order_created,ORD-seller_normal_a-000148,676,IN-South,dev_029
seller_normal_a,shipment_updated,ORD-seller_normal_a-000149,713,IN-North,dev_030
seller_normal_a,order_created,ORD-seller_normal_a-000150,750,IN-South,dev_031
seller_normal_a,shipment_updated,ORD-seller_normal_a-000151,787,IN-North,dev_032
seller_normal_a,order_created,ORD-seller_normal_a-000152,824,IN-South,dev_033
seller_normal_a,shipment_updated,ORD-seller_normal_a-000153,861,IN-North,dev_034
seller_normal_a,order_created,ORD-seller_normal_a-000154,898,IN-South,dev_035
seller_normal_a,shipment_updated,ORD-seller_normal_a-000155,935,IN-North,dev_036
seller_normal_a,order_created,ORD-seller_normal_a-000156,972,IN-South,dev_037
seller_normal_a,shipment_updated,ORD-seller_normal_a-000157,1009,IN-North,dev_038
seller_normal_a,order_created,ORD-seller_normal_a-000158,1046,IN-South,dev_039
seller_normal_a,shipment_updated,ORD-seller_normal_a-000159,1083,IN-North,dev_040
seller_normal_a,order_created,ORD-seller_normal_a-000160,1120,IN-South,dev_001
seller_normal_a,shipment_updated,ORD-seller_normal_a-000161,1157,IN-North,dev_002
seller_normal_a,order_created,ORD-seller_normal_a-000162,1194,IN-South,dev_003
seller_normal_a,shipment_updated,ORD-seller_normal_a-000163,1231,IN-North,dev_004
seller_normal_a,order_created,ORD-seller_normal_a-000164,1268,IN-South,dev_005
seller_normal_a,shipment_updated,ORD-seller_normal_a-000165,1305,IN-North,dev_006
seller_normal_a,order_created,ORD-seller_normal_a-000166,1342,IN-South,dev_007
seller_normal_a,shipment_updated,ORD-seller_normal_a-000167,1379,IN-North,dev_008
seller_normal_a,order_created,ORD-seller_normal_a-000168,1416,IN-South,dev_009
