client_id,event_type,entity_id,amount,region,device_id
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000001,142,IN-North,fresh_dev_002
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000002,184,IN-South,fresh_dev_003
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000003,226,IN-North,fresh_dev_004
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000004,268,IN-South,fresh_dev_005
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000005,310,IN-North,fresh_dev_006
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000006,352,IN-South,fresh_dev_007
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000007,394,IN-North,fresh_dev_008
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000008,436,IN-South,fresh_dev_009
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000009,478,IN-North,fresh_dev_010
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000010,520,IN-South,fresh_dev_011
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000011,562,IN-North,fresh_dev_012
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000012,604,IN-South,fresh_dev_013
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000013,646,IN-North,fresh_dev_014
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000014,688,IN-South,fresh_dev_015
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000015,730,IN-North,fresh_dev_016
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000016,772,IN-South,fresh_dev_017
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000017,814,IN-North,fresh_dev_018
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000018,856,IN-South,fresh_dev_019
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000019,898,IN-North,fresh_dev_020
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000020,940,IN-South,fresh_dev_021
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000021,982,IN-North,fresh_dev_022
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000022,1024,IN-South,fresh_dev_023
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000023,1066,IN-North,fresh_dev_024
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000024,1108,IN-South,fresh_dev_025
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000025,1150,IN-North,fresh_dev_026
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000026,1192,IN-South,fresh_dev_027
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000027,1234,IN-North,fresh_dev_028
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000028,1276,IN-South,fresh_dev_029
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000029,1318,IN-North,fresh_dev_030
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000030,1360,IN-South,fresh_dev_031
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000031,1402,IN-North,fresh_dev_032
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000032,1444,IN-South,fresh_dev_033
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000033,1486,IN-North,fresh_dev_034
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000034,1528,IN-South,fresh_dev_035
fresh_normal_alpha,shipment_updated,FRESH-ORD-fresh_normal_alpha-000035,1570,IN-North,fresh_dev_036
fresh_normal_alpha,order_created,FRESH-ORD-fresh_normal_alpha-000036,1612,IN-South,fresh_dev_037
